ds,y,temp,HDH,CDH,Day Type,train,yhat_hcdh,yhat_5p
2015-07-02,93.135,25.641666666666666,0.0,255.4,Working Day,True,95.68571265696971,96.66442271852108
2015-07-03,84.486,23.5,0.0,204.0,Non-Working Day,True,80.23062146228355,80.51736420110221
2015-07-04,74.337,21.48958333333333,0.0,155.75,Non-Working Day,True,74.71557380684037,74.50383389717739
2015-07-05,70.692,20.29652777777778,0.0,127.11666666666666,Non-Working Day,True,71.44274069041501,70.93518275308664
2015-07-06,79.813,20.288888888888888,0.0,126.93333333333334,Working Day,True,79.66289964938798,79.3112128848642
2015-07-07,80.487,20.664583333333333,0.0,135.95,Working Day,True,80.78748992405089,80.52917948061
2015-07-08,77.819,20.59375,0.0,134.25,Working Day,True,80.57545996468745,80.29954437383353
2015-07-09,77.551,20.55208333333333,0.0,133.25,Working Day,True,80.45073645917955,80.16446489925912
2015-07-10,77.618,20.20833333333333,0.0,125.0,Working Day,True,79.42176753873936,79.05005923402038
2015-07-11,74.188,21.70833333333333,0.0,161.0,Non-Working Day,True,75.31565671235491,75.15815584734538
2015-07-12,74.887,23.29583333333333,0.0,199.1,Non-Working Day,True,79.6705440838033,79.90666371427876
2015-07-13,87.895,24.222916666666663,0.0,221.35,Working Day,True,91.43887729442567,92.06496660926305
2015-07-14,87.634,23.2625,0.0,198.3,Working Day,True,88.56400049246855,88.95138472032332
2015-07-15,86.326,22.429166666666664,0.0,178.3,Working Day,True,86.06953038231052,86.2497952288355
2015-07-16,87.533,22.68125,0.0,184.35,Working Day,True,86.82410759063332,87.06702605001055
2015-07-17,87.836,23.558333333333334,0.0,205.4,Working Day,True,89.44953738157464,89.9104489898015
2015-07-18,74.173,21.972916666666663,0.0,167.35,Non-Working Day,True,76.04147127426297,75.94957382516763
2015-07-19,85.076,26.0,0.0,264.0,Non-Working Day,True,87.08871181102118,87.99532934587917
2015-07-20,97.677,25.875,0.0,261.0,Working Day,True,96.38416428781397,97.4208677761377
2015-07-21,92.393,23.554166666666664,0.0,205.3,Working Day,True,89.43706503102385,89.89694104234405
2015-07-22,90.692,23.383333333333336,0.0,201.2,Working Day,True,88.92569865844146,89.34311519658908
2015-07-23,89.53,23.475,0.0,203.4,Working Day,True,89.20009037055884,89.64029004065273
2015-07-24,94.053,25.3375,0.0,248.1,Working Day,True,94.77523106676203,95.67834255412802
2015-07-25,88.759,25.95833333333333,0.0,263.0,Non-Working Day,True,86.97441030520889,87.8706965934662
2015-07-26,82.274,24.066666666666663,0.0,217.6,Non-Working Day,True,81.78512194133074,82.21236963391833
2015-07-27,89.502,22.808333333333334,0.0,187.4,Working Day,True,87.20451428243241,87.47901844746244
2015-07-28,92.792,24.025,0.0,216.6,Working Day,True,90.84644064326314,91.4233391050347
2015-07-29,93.37,23.827430555555555,0.0,211.8583333333333,Working Day,True,90.2550433546465,90.78283726309445
2015-07-30,96.77,25.65,0.0,255.6,Working Day,True,95.7106573580713,96.69143861343596
2015-07-31,98.945,25.89375,0.0,261.45,Working Day,True,96.44028986529253,97.48165353969617
2015-08-01,87.918,23.83333333333333,0.0,212.0,Non-Working Day,True,81.14503350878189,81.51442622040581
2015-08-02,84.104,24.46666666666667,0.0,227.2,Non-Working Day,True,82.88241639712876,83.40884405708265
2015-08-03,94.237,24.579166666666666,0.0,229.9,Working Day,True,92.50526326651823,93.21989611687411
2015-08-04,97.204,26.67083333333333,0.0,280.1,Working Day,True,98.76638324301489,100.00088574050858
2015-08-05,100.933,28.0125,0.0,312.3,Working Day,True,102.78248012036931,104.35044482180402
2015-08-06,96.685,25.79583333333333,0.0,259.1,Working Day,True,96.14718962734895,97.16421677444634
2015-08-07,89.672,22.133333333333336,0.0,171.2,Working Day,True,85.18399349320441,85.29073095935732
2015-08-08,79.891,22.214583333333334,0.0,173.15,Non-Working Day,True,76.70442000797428,76.67244378916273
2015-08-09,74.317,20.9,0.0,141.6,Non-Working Day,True,73.09820749959641,72.74028045053419
2015-08-10,83.264,20.85277777777777,0.0,140.46666666666667,Working Day,True,81.35082442392824,81.13928844077097
2015-08-11,85.327,21.69861111111111,0.0,160.76666666666668,Working Day,True,83.88271158573863,83.88140177463114
2015-08-12,92.133,26.5375,0.0,276.9,Working Day,True,98.36726802538959,99.56863142187055
2015-08-13,101.398,29.5625,0.0,349.5,Working Day,True,107.42219452526325,109.37540127597137
2015-08-14,106.463,30.40833333333333,0.0,369.8,Working Day,True,109.95408168707365,112.11751460983155
2015-08-15,103.021,31.6375,0.0,399.3,Non-Working Day,True,102.55370554742456,104.85814074735121
2015-08-16,100.209,30.53333333333333,0.0,372.8,Non-Working Day,True,99.52471564339876,101.55537280840805
2015-08-17,105.693,25.572916666666668,0.0,253.75,Working Day,True,95.47991887288168,96.44154158547335
2015-08-18,97.438,23.704166666666666,0.0,208.9,Working Day,True,89.8860696508523,90.38322715081188
2015-08-19,93.175,22.751388888888886,0.0,186.03333333333333,Working Day,True,87.03405882490495,87.29440983221079
2015-08-20,90.937,22.4625,0.0,179.1,Working Day,True,86.16930918671683,86.357858808495
2015-08-21,88.052,22.260416666666668,0.0,174.25,Working Day,True,85.5644001850035,85.7027233568092
2015-08-22,83.049,23.155555555555555,0.0,195.7333333333333,Non-Working Day,True,79.28572901423524,79.48706678115518
2015-08-23,83.626,24.304166666666664,0.0,223.3,Non-Working Day,True,82.43664052446081,82.92277632267214
2015-08-24,98.877,25.67083333333333,0.0,256.1,Working Day,True,95.77301911082526,96.75897835072317
2015-08-25,97.07,26.05,0.0,265.2,Working Day,True,96.90800301094714,97.98820156935014
2015-08-26,107.077,28.65,0.0,327.6,Working Day,True,104.69074975464021,106.4171607827922
2015-08-27,110.321,29.075,0.0,337.8,Working Day,True,105.9629295108208,107.79497142345099
2015-08-28,113.526,30.204166666666666,0.0,364.9,Working Day,True,109.34293651008493,111.45562518441702
2015-08-29,104.65,29.416666666666668,0.0,346.0,Non-Working Day,True,96.46143528762929,98.21521504374103
2015-08-30,97.098,26.704166666666666,0.0,280.90000000000003,Non-Working Day,True,89.02040725924896,90.10162286165802
2015-08-31,98.624,24.12361111111112,0.0,218.96666666666667,Working Day,True,91.1416196062985,91.74302719486079
2015-09-01,93.05,22.922916666666666,0.0,190.15,Working Day,True,87.54750392257915,87.85048700254202
2015-09-02,90.007,22.285416666666663,0.0,174.85000000000002,Working Day,True,85.63923428830826,85.78377104155382
2015-09-03,85.189,21.339583333333334,0.0,152.15,Working Day,True,82.80801071327889,82.71746696871514
2015-09-04,82.032,21.4875,0.0,155.7,Working Day,True,83.25077915783194,83.19699910345423
2015-09-05,76.881,22.429166666666664,0.0,178.3,Non-Working Day,True,77.2930727629076,77.31430246408944
2015-09-06,78.319,25.116666666666664,0.0,242.8,Non-Working Day,True,84.66551988780056,85.35311499472463
2015-09-07,90.777,28.35,0.0,320.4,Non-Working Day,True,93.53531673883455,95.02461658196954
2015-09-08,112.522,30.97083333333333,0.0,383.3,Working Day,True,111.63784901143032,113.94108751658584
2015-09-09,123.748,32.975,0.0,431.4,Working Day,True,117.63704962636038,120.43841024361407
2015-09-10,122.058,31.22083333333333,0.0,389.3,Working Day,True,112.38619004447773,114.75156436403219
2015-09-11,117.805,30.066666666666663,0.0,361.6,Working Day,True,108.93134894190885,111.00986291832152
2015-09-12,99.143,28.71666666666667,0.0,329.2,Non-Working Day,True,94.54116998998275,96.12138480320347
2015-09-13,96.2,27.195833333333336,0.0,292.7,Non-Working Day,True,90.36916502783401,91.57228934013084
2015-09-14,99.284,23.938541666666666,0.0,214.525,Working Day,True,90.58763936933424,91.14304919529283
2015-09-15,94.864,22.74805555555556,0.0,185.9533333333333,Working Day,True,87.02408094446432,87.28360347424484
2015-09-16,86.414,21.33611111111111,0.0,152.06666666666666,Working Day,True,82.7976170878199,82.70621034583394
2015-09-17,86.177,22.09166666666667,0.0,170.2,Working Day,True,85.05926998769651,85.15565148478291
2015-09-18,90.733,24.9125,0.0,237.9,Working Day,True,93.50305131058144,94.30053191346926
2015-09-19,90.884,27.225,0.0,293.4,Non-Working Day,True,90.44917608190262,91.65953226681988
2015-09-20,98.984,30.879166666666663,0.0,381.1,Non-Working Day,True,100.4734181416408,102.58982465343551
2015-09-21,104.33,26.479166666666668,0.0,275.5,Working Day,True,98.19265511767853,99.37952015746637
2015-09-22,97.976,24.4,0.0,225.6,Working Day,True,91.96895219283425,92.6390543762042
2015-09-23,98.115,25.604166666666668,0.0,254.5,Working Day,True,95.5734615020126,96.54285119140414
2015-09-24,103.324,27.475,0.0,299.4,Working Day,True,101.17354689931739,102.60791959979437
2015-09-25,105.513,28.075,0.0,313.8,Working Day,True,102.96956537863116,104.5530640336656
2015-09-26,98.855,28.35833333333333,0.0,320.6,Non-Working Day,True,93.55817703999702,95.04954313245211
2015-09-27,89.861,26.916666666666668,0.0,286.0,Non-Working Day,True,89.60334493889165,90.73724989896407
2015-09-28,97.4,25.741666666666664,0.0,257.8,Working Day,True,95.98504907018868,96.98861345749964
2015-09-29,92.544,24.4875,0.0,227.7,Working Day,True,92.23087155440085,92.92272127281043
2015-09-30,94.892,26.09166666666667,0.0,266.2,Working Day,True,97.03272651645506,98.12328104392455
2015-10-01,92.659,24.9125,0.0,237.9,Working Day,True,93.50305131058144,94.30053191346926
