,"Electricity demand, daily sum, (GWh)","Temperature, daily mean (degC)","Temperature, daily peak (degC)",Holiday,yhat_rf,yhat_svm,yhat_nn
2015-07-02,64.932,26.67083333333333,32.8,False,66.70404761731734,64.13828980210418,65.92321504067395
2015-07-03,59.337,25.391666666666666,36.1,True,63.799199965326494,58.83734813155877,60.26348458704837
2015-07-04,59.545,25.27916666666667,37.2,False,63.14585968238355,62.559986610666265,59.86607619533947
2015-07-05,53.021,22.40625,31.7,False,52.064798530219115,53.52121680751044,54.27351928223673
2015-07-06,55.365,22.61875,32.8,False,55.66639141812695,58.67151154570444,58.7051931264063
2015-07-07,54.404,22.475,31.1,False,55.024927266895446,56.85257756445745,58.78488263505843
2015-07-08,50.337,20.116666666666667,27.8,False,49.57587072587694,51.36552775063913,54.74502829602091
2015-07-09,45.658,18.413194444444446,23.3,False,45.69433680493918,46.69305697665057,51.67076067991426
2015-07-10,46.958,20.291666666666668,25.6,False,48.82795852855968,50.826384879899365,54.125217767052476
2015-07-11,47.176,21.791666666666668,29.4,False,51.21561152562212,52.26947220773792,53.32349928633299
2015-07-12,46.838,22.46666666666667,29.4,False,50.93128558693173,51.82657147198198,54.158657717835744
2015-07-13,54.91,23.59166666666667,32.8,False,60.132770337065615,59.98848796773932,60.326473453036876
2015-07-14,55.486,22.570833333333336,31.1,False,55.46690466354381,56.96468283411156,58.944580483077715
2015-07-15,57.829,23.7125,34.4,False,61.58816397057967,60.61142911772508,61.35567721974478
2015-07-16,61.518,24.2125,34.4,False,63.00093385825151,62.01832427312928,61.97655938626627
2015-07-17,60.627,24.42083333333333,36.1,False,62.914861190970605,63.78065830380456,61.632277973677674
2015-07-18,53.005,23.28333333333333,33.3,False,55.856918777540905,57.030321062792815,56.17471296669853
2015-07-19,56.924,26.633333333333336,34.4,False,64.29724797742129,61.24196578370566,61.570609028457035
2015-07-20,69.645,28.225,36.7,False,69.82563430062982,69.14484242897917,68.41299919455636
2015-07-21,63.428,23.329166666666666,32.8,False,58.64356271669519,59.04025762494198,60.367589146643425
2015-07-22,54.049,21.3125,29.4,False,51.711698339973594,53.88231580142074,56.88772102043553
2015-07-23,50.267,20.53645833333333,28.3,False,50.45869727297477,52.33531311270378,55.279106968548014
2015-07-24,52.205,22.2,31.7,False,53.84726549538,57.504334346653195,57.5191153100132
2015-07-25,50.051,22.0,31.7,False,52.24413194860367,54.1817589070631,53.886209163657604
2015-07-26,50.17,22.554166666666664,31.7,False,52.37686016908025,53.71097024276188,54.52000943896214
2015-07-27,58.771,26.1875,36.7,False,64.8863960719612,66.5174542875769,65.01768407797246
2015-07-28,64.873,28.15,40.0,False,68.33090902774752,69.35923687595326,69.07582116483123
2015-07-29,70.865,28.745833333333334,41.1,False,70.06569731514476,71.36498940005714,70.37116519604054
2015-07-30,67.734,26.0625,37.2,False,64.68029685083562,66.71639859954114,65.32181949542128
2015-07-31,60.733,23.633333333333336,32.8,False,60.31695419769387,60.23337989287948,60.010724300714735
2015-08-01,53.458,23.28333333333333,32.8,False,55.707329853479095,55.37905409748246,56.100949661555255
2015-08-02,52.145,23.09583333333333,32.2,False,54.16556685734353,52.64501564019562,55.44259946718878
2015-08-03,53.871,22.2,31.1,False,56.17267291911477,56.87509915109519,57.82116367187437
2015-08-04,48.808,20.45833333333333,26.1,False,52.431364525450526,53.11160051287735,55.056869902685044
2015-08-05,53.65,23.23333333333333,32.8,False,56.861914683649296,60.39474307421666,60.38034001939635
2015-08-06,55.447,24.054166666666664,31.7,False,57.93726917991203,60.29919505330336,61.432778152438864
2015-08-07,55.601,23.366666666666664,31.7,False,55.71030559321422,58.22563825376888,59.43635638130037
2015-08-08,49.355,21.70833333333333,29.4,False,52.7059394628532,51.840016412171536,53.15772494867294
2015-08-09,52.366,23.7,35.0,False,58.24007979744745,54.90017751539173,56.71178755209309
2015-08-10,54.998,22.825,31.7,False,55.901653556871935,57.83167468029652,58.91889937004365
2015-08-11,54.102,22.525,31.7,False,55.557012128038394,58.36258195419966,58.89752460138179
2015-08-12,54.62,23.2125,32.2,False,56.34912739667206,60.00456265588517,60.28939510221823
2015-08-13,55.891,23.354166666666668,32.2,False,56.48503984727653,59.82177765573657,60.313146184841514
2015-08-14,55.133,23.558333333333334,33.3,False,58.71037188018828,59.378912199906964,59.90569339386074
2015-08-15,55.852,25.96666666666667,37.8,False,60.59690947997767,61.25876279936648,61.04105602022589
2015-08-16,60.917,28.77083333333333,40.0,False,67.33431551282465,63.318233606871075,65.63045334185284
2015-08-17,68.574,28.316666666666663,40.0,False,68.6076061554875,68.07361291218251,68.84810097947519
2015-08-18,61.732,23.6375,34.4,False,60.406472716883535,61.232044979187805,61.00443428697533
2015-08-19,55.602,21.72083333333333,31.1,False,56.45043741555352,57.67460985724446,57.70057872576582
2015-08-20,53.044,20.954166666666666,29.4,False,53.31943406325402,55.80117838425933,56.051359295749734
2015-08-21,53.02,21.05208333333333,30.0,False,53.58672838535151,54.747070419556024,55.419993533595395
2015-08-22,50.725,21.67083333333333,31.7,False,54.06206470569387,53.02199798032088,53.310775128904645
2015-08-23,49.543,22.133333333333336,31.7,False,53.109730220931915,51.36402447902471,53.79182094088639
2015-08-24,55.077,23.10833333333333,33.3,False,57.89147972595379,58.98318155938686,59.540990845926814
2015-08-25,57.578,23.83333333333333,34.4,False,60.376144555842785,61.44464503606774,61.3307733677104
2015-08-26,60.256,25.516666666666666,36.7,False,62.30281788470697,65.36166705592314,64.55079679209513
2015-08-27,65.093,27.35833333333333,38.3,False,66.92832002578783,67.4615192282639,67.5573901474084
2015-08-28,66.47,27.52083333333333,37.8,False,67.35324907626267,66.4110890636389,66.93056219294093
2015-08-29,54.794,23.383333333333336,28.9,False,54.19073230832002,53.32728890428951,55.902108935249146
2015-08-30,48.864,22.433333333333334,31.7,False,52.724592051227376,51.67426934045876,54.291744639033716
2015-08-31,56.382,23.77083333333333,33.3,False,59.02567334178966,59.6887105862926,60.64498901266882
2015-09-01,56.854,23.425,32.2,False,55.72145705676066,56.004192459236016,57.255456651858296
2015-09-02,52.261,21.25,28.9,False,51.881129344503385,50.93952586271468,53.52111123946637
2015-09-03,49.578,20.929166666666667,27.8,False,51.075449102554145,51.193342149228876,52.671061965670454
2015-09-04,46.917,19.8375,27.2,False,48.75132624788463,48.79571716938195,49.94490388527667
2015-09-05,43.077,20.375,30.0,False,47.04834584025473,47.286682877823765,47.8033741341131
2015-09-06,43.967,20.820833333333333,32.2,False,46.59229422577967,48.1560879033763,48.46281571752636
2015-09-07,49.438,23.254166666666663,35.0,True,53.61459073552082,50.605110436907026,53.76802423281824
2015-09-08,57.555,25.02777777777777,37.8,False,60.068378682752545,61.11337101486867,60.451139906268004
2015-09-09,63.764,27.65,40.6,False,67.08829735756716,64.26389627933003,65.28259601034169
2015-09-10,67.884,28.775,40.6,False,69.54664446616043,67.16290793841733,66.94498588133678
2015-09-11,64.633,27.34166666666667,37.8,False,66.86592322297706,64.13310870177155,63.443300945613295
2015-09-12,52.499,23.46666666666667,27.8,False,52.512761421460276,50.21462903377281,52.74919626869166
2015-09-13,54.656,25.65,33.9,False,59.01984857227789,55.15621886492756,56.66951122956343
2015-09-14,49.552,19.570833333333333,25.6,False,48.93942723060375,49.169913079721596,49.73576894746654
2015-09-15,46.158,18.602083333333333,25.0,False,46.021248142617026,46.87536393691098,48.54375294132225
2015-09-16,44.332,17.620833333333334,22.8,False,44.156724953964705,45.335567923370704,46.90177189958363
2015-09-17,46.38,19.815277777777776,27.2,False,48.873189656274356,49.675035431211384,50.758635796446264
2015-09-18,47.772,20.97083333333333,31.7,False,50.50594233604015,52.203851614400975,52.25521447543972
2015-09-19,48.315,22.666666666666668,35.0,False,52.39624695857035,52.3511255468024,52.230794084492786
2015-09-20,50.667,24.04583333333333,37.2,False,55.72632453879354,54.67777671276968,54.30556208674074
2015-09-21,57.678,26.025,38.3,False,60.084671742764094,62.35684409882447,61.68123104222236
2015-09-22,51.64,20.966666666666665,27.2,False,50.91809377371049,50.415588457566,52.69029306679817
2015-09-23,48.749,20.67083333333333,32.2,False,50.67794133898334,51.53708340997253,52.865234731980394
2015-09-24,53.451,24.120833333333334,35.0,False,55.7400242542847,58.508781212904886,58.66443056753041
2015-09-25,54.718,24.0625,35.6,False,56.10289074980966,58.44765146940485,57.772687879257674
2015-09-26,52.571,24.375,35.0,False,56.079278662820606,54.63330779015173,54.937590056874754
2015-09-27,49.371,23.40416666666667,31.7,False,52.66315375218478,51.147089392789205,52.72085756793749
2015-09-28,50.971,21.3875,31.1,False,51.52007725301891,53.11023867961028,53.27850795068016
2015-09-29,45.854,18.591666666666665,25.6,False,45.96937149313905,47.05881166150645,48.58262247327671
2015-09-30,43.635,16.662499999999998,18.9,False,43.7119604384271,44.13539357372857,45.45828046633539
2015-10-01,44.028,19.52083333333333,25.6,False,44.578185673688516,45.30292453783831,47.33712710389225
2015-10-02,45.803,21.883333333333336,32.8,False,51.70214367103666,48.66793941484861,50.690102394773994
2015-10-03,42.059,18.944444444444446,30.0,False,41.79620098602117,42.544280482126766,42.94034322901566
2015-10-04,39.942,18.80208333333333,25.6,False,41.824277744429416,40.964731147021055,42.543913932180665
2015-10-05,44.835,19.98958333333333,26.85,False,44.64442689777446,45.3350518053153,47.93352939141612
2015-10-06,46.591,20.58125,27.2,False,45.656360410426366,46.30243145023642,49.018768409334506
2015-10-07,47.698,21.1875,28.9,False,46.43891117660596,47.37699545854873,50.22816248471309
2015-10-08,50.575,22.77916666666667,31.1,False,52.32030865162313,49.49970295814692,52.8743807519326
2015-10-09,50.784,22.495833333333334,32.8,False,51.76143937213612,49.20600514482488,51.71077994515811
2015-10-10,46.362,21.3375,31.1,False,46.489447445666556,44.52397084477396,46.619306175134994
2015-10-11,45.656,21.59166666666667,32.2,False,49.72400644684248,44.422807291155536,46.558543902071214
2015-10-12,51.091,22.46666666666667,34.4,True,51.56677704175601,49.68150263926792,49.26591178917648
2015-10-13,53.891,24.20833333333333,35.6,False,57.73885514202954,52.65508560650001,55.69064028810145
2015-10-14,52.965,24.075,32.8,False,58.065746066484145,51.35110472774691,55.405410038403
2015-10-15,51.148,23.166666666666668,30.6,False,52.5196297623163,49.66433667312175,53.473258867293154
2015-10-16,50.855,22.679166666666664,31.1,False,51.61013845204802,48.75023358787999,51.85697622299927
2015-10-17,41.718,18.860416666666666,24.4,False,41.397303945961475,41.43971974753326,42.92756413978608
2015-10-18,39.658,17.2375,23.3,False,39.89551689093133,40.15815663187645,40.39277360016149
2015-10-19,43.173,18.39583333333333,25.0,False,45.182235702030624,44.07788708818793,45.645173925130926
2015-10-20,43.953,21.304166666666667,30.0,False,46.75605539275908,47.75990209199401,50.326306546821165
2015-10-21,43.888,19.575,29.4,False,44.520014990172356,46.32331228444872,47.58792926858427
2015-10-22,44.541,19.495833333333334,28.3,False,44.49727928479963,45.89606553994368,47.140596307184815
2015-10-23,43.297,17.825,27.2,False,44.021122250220344,44.12125875954667,43.6980583964582
2015-10-24,40.168,17.895833333333332,27.2,False,41.26445736227149,41.34036047382842,41.293810656430374
2015-10-25,39.873,19.03333333333333,26.7,False,42.03174651665613,41.24531367021158,42.712101483331296
2015-10-26,43.407,16.973194444444445,27.2,False,43.648728656861316,43.72346400402177,43.110254041025186
2015-10-27,42.69,17.866666666666667,22.2,False,44.02637825022035,43.778490646702885,45.858743731629346
2015-10-28,42.98,17.787499999999998,23.3,False,44.31702413556249,43.93022735073804,45.44888063342916
