ds,y,yhat_prophet,train
2015-07-02,462.6,482.89180442593005,True
2015-07-03,424.376,477.6610074606987,True
2015-07-04,396.572,444.8147001693911,True
2015-07-05,422.882,452.4268854982802,True
2015-07-06,507.533,496.5498519069279,True
2015-07-07,556.97,517.0351659154968,True
2015-07-08,541.464,520.3510676291771,True
2015-07-09,489.296,499.82439802109724,True
2015-07-10,494.03,509.2529639701741,True
2015-07-11,468.524,485.69969436295924,True
2015-07-12,480.017,486.3514619934339,True
2015-07-13,546.655,518.8305738788648,True
2015-07-14,532.54,517.593611200806,True
2015-07-15,508.429,523.1033526637095,True
2015-07-16,460.404,507.7026029620459,True
2015-07-17,468.983,506.301984924111,True
2015-07-18,485.589,494.02984784553644,True
2015-07-19,547.318,516.1444049104164,True
2015-07-20,622.939,558.7386394048848,True
2015-07-21,575.758,547.9232884837404,True
2015-07-22,509.406,530.731292262049,True
2015-07-23,494.119,528.6602716348904,True
2015-07-24,492.282,528.6975535515768,True
2015-07-25,470.82,498.31884838344274,True
2015-07-26,491.198,499.61638049668045,True
2015-07-27,558.068,528.1209056464195,True
2015-07-28,593.878,554.13553044485,True
2015-07-29,615.851,561.2065535325901,True
2015-07-30,596.964,539.7430109960142,True
2015-07-31,555.298,540.0890655710211,True
2015-08-01,503.157,509.8708617559259,True
2015-08-02,487.181,497.70461787554706,True
2015-08-03,561.226,542.2297791600868,True
2015-08-04,555.965,543.6120697307315,True
2015-08-05,522.326,538.0372459727707,True
2015-08-06,492.04,526.1694382195687,True
2015-08-07,489.663,523.0046917263909,True
2015-08-08,443.86,487.9562020130889,True
2015-08-09,445.809,482.0420088670393,True
2015-08-10,502.788,519.6290905721335,True
2015-08-11,509.155,526.6687810389072,True
2015-08-12,504.308,532.2730203636626,True
2015-08-13,491.91,527.0780894670017,True
2015-08-14,505.154,527.5541122937141,True
2015-08-15,505.949,510.99583720345896,True
2015-08-16,519.749,508.9982058179865,True
2015-08-17,596.145,550.8056237787797,True
2015-08-18,596.304,543.6396456948809,True
2015-08-19,595.99,539.9755565484732,True
2015-08-20,591.069,540.8726426482692,True
2015-08-21,534.038,526.2971093405611,True
2015-08-22,460.646,486.4492185638188,True
2015-08-23,461.049,478.22525752241256,True
2015-08-24,532.583,520.5407554526846,True
2015-08-25,542.589,534.6871210094043,True
2015-08-26,491.581,513.4343686597337,True
2015-08-27,469.577,504.2844974488082,True
2015-08-28,460.438,495.3230678554907,True
2015-08-29,441.659,473.1333793847966,True
2015-08-30,471.687,476.0956990382876,True
2015-08-31,561.973,521.7072748095779,True
2015-09-01,567.071,520.8808854567997,True
2015-09-02,566.971,519.5085193518998,True
2015-09-03,580.533,524.4691590635435,True
2015-09-04,550.064,503.0370728089029,True
2015-09-05,471.465,449.6180938948849,True
2015-09-06,455.928,446.68959243147333,True
2015-09-07,507.178,498.99673353283777,True
2015-09-08,600.813,520.6645219297906,True
2015-09-09,597.161,510.01273547145325,True
2015-09-10,525.438,480.45326388238425,True
2015-09-11,481.118,470.63935034762807,True
2015-09-12,439.544,441.68034215736395,True
2015-09-13,420.854,423.6240222587365,True
2015-09-14,421.479,452.28766240707483,True
2015-09-15,444.579,473.22196841721933,True
2015-09-16,475.415,482.411468828882,True
2015-09-17,493.03,485.5214913666866,True
2015-09-18,490.272,474.0863900723284,True
2015-09-19,456.849,439.02393138855183,True
2015-09-20,416.268,422.9585015080871,True
2015-09-21,417.558,439.21559274548997,True
2015-09-22,417.913,444.8307475608432,True
2015-09-23,419.942,449.6583339415388,True
2015-09-24,432.027,454.3994731827323,True
2015-09-25,424.738,438.1052258599676,True
2015-09-26,378.677,398.8819512237427,True
2015-09-27,368.93,389.2301814304876,True
2015-09-28,433.494,439.83387189490844,True
2015-09-29,474.076,461.3913831740218,True
2015-09-30,460.244,444.5436605609258,True
2015-10-01,399.333,420.3711661000267,True
2015-10-02,394.031,434.041621379327,True
2015-10-03,371.774,401.585872213221,True
2015-10-04,356.587,375.4308430034188,True
2015-10-05,392.226,407.5433536339789,True
2015-10-06,396.728,417.6464464178882,True
2015-10-07,400.211,407.59839862174067,True
2015-10-08,399.527,400.9656982739823,True
2015-10-09,410.044,400.25395904308334,True
2015-10-10,359.395,365.70181491697554,True
2015-10-11,352.546,357.79047315388834,True
2015-10-12,392.355,392.7106176173776,True
2015-10-13,405.975,398.8555291071642,True
2015-10-14,397.351,389.8156746326496,True
2015-10-15,393.02,394.47864941804363,True
2015-10-16,389.661,386.1385507411995,True
2015-10-17,365.989,380.0634439148688,True
2015-10-18,371.989,398.72794056346913,True
2015-10-19,410.719,428.6810087094218,True
2015-10-20,403.842,402.7632763937437,True
2015-10-21,399.203,394.6819479056546,True
2015-10-22,401.26,397.9777802717814,True
2015-10-23,391.763,395.0290213662306,True
2015-10-24,372.88,383.0496100702288,True
2015-10-25,363.242,351.6013861002723,True
2015-10-26,397.22,407.7005932175746,True
2015-10-27,404.51,412.5309391251831,True
2015-10-28,413.975,397.67235410264266,True
2015-10-29,404.834,398.1460814418132,True
2015-10-30,392.729,401.1335651407437,True
2015-10-31,368.448,386.85597504910163,True
2015-11-01,377.385,351.7946582721051,True
2015-11-02,396.3,387.3242230926131,True
2015-11-03,398.881,404.40708035826225,True
2015-11-04,398.103,394.1050444459324,True
2015-11-05,404.913,396.1559021470894,True
2015-11-06,411.377,401.56157155858676,True
